name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Paris,France",2023-11-10,11.8,6.5,8.7,11.8,3.5,6.7,6,83.1,1.791,100,16.67,rain,0,0,57.4,25.6,238.7,1001.7,79.1,22.3,19.5,1.7,1,10,2023-11-10T07:51:16,2023-11-10T17:17:11,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
"Paris,France",2023-11-11,11.4,6.1,8,11.4,3.6,6.6,6,87.4,0.48,100,29.17,rain,0,0,29.9,12.8,254.5,1009.4,83.6,20.4,15.1,1.4,1,10,2023-11-11T07:52:51,2023-11-11T17:15:50,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-12,12.9,6.6,9.4,12.9,4.1,8.3,8.6,94.9,8.354,100,58.33,rain,0,0,41,19.9,192.2,1006.1,99.4,10.7,10.6,0.9,1,10,2023-11-12T07:54:26,2023-11-12T17:14:30,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-13,16.9,12,14.4,16.9,12,14.4,12.5,88.6,4.68,100,54.17,rain,0,0,60.4,25.6,231.8,1007.9,91,18.8,11,1,1,10,2023-11-13T07:56:00,2023-11-13T17:13:12,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-14,13.3,11.3,12.4,13.3,11.3,12.4,9.4,82.6,0.619,100,20.83,rain,0,0,59.2,24.2,242.3,1011.5,85.6,21.3,8.6,0.7,1,10,2023-11-14T07:57:34,2023-11-14T17:11:56,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
"Paris,France",2023-11-15,13.1,8.1,10.8,13.1,8.1,10.5,8,83.3,0,0,0,rain,0,0,40.7,19.5,250.5,1020.7,81.1,22.6,12.9,1.2,1,10,2023-11-15T07:59:08,2023-11-15T17:10:42,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-16,10.5,7.9,8.8,10.5,4.9,7.3,8,94.5,17.957,100,50,rain,0,0,50.9,22.1,99.6,1012.2,97.6,11.4,12.7,1.2,1,10,2023-11-16T08:00:41,2023-11-16T17:09:31,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
"Paris,France",2023-11-17,11.6,7.6,8.9,11.6,5.6,7.9,6.7,86.4,2.155,100,20.83,rain,0,0,38.7,13.8,260.8,1022.8,86.2,21.6,38.4,3.4,3,10,2023-11-17T08:02:14,2023-11-17T17:08:22,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999,D3623"
"Paris,France",2023-11-18,14.3,8.5,10.7,14.3,6.1,9.8,9.8,94.4,12.3,100,70.83,rain,0,0,45.5,20.2,203.3,1020.2,99.2,15.3,5.3,0.4,0,10,2023-11-18T08:03:46,2023-11-18T17:07:15,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07153099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-19,15.1,11,13.4,15.1,11,13.4,10.1,81.3,0,0,0,rain,0,0,54.5,27.2,241,1016.6,80.5,22.4,18.1,1.6,1,10,2023-11-19T08:05:18,2023-11-19T17:06:10,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-20,12.5,9.7,10.8,12.5,8.6,10.6,8,83.7,0.153,100,16.67,rain,0,0,50.5,25,241,1014.4,92.8,19.4,10,0.9,1,10,2023-11-20T08:06:48,2023-11-20T17:05:08,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-21,12,9.3,10.6,12,7.9,10.3,9.2,90.6,1.856,100,37.5,rain,0,0,41.5,17.1,343.9,1018.3,95.2,17.9,9.8,1,0,10,2023-11-21T08:08:18,2023-11-21T17:04:08,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-22,9.9,5.7,7.8,7.8,2.1,5.7,3.5,74.6,0,0,0,,0,0,47.1,23.2,16.6,1029.8,74.9,18.1,16.8,1.5,2,10,2023-11-22T08:09:47,2023-11-22T17:03:11,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-23,12.2,6.2,10,12.2,4.7,9.6,7.6,84.8,0.181,100,8.33,rain,0,0,41.7,14.2,267,1028.2,98.9,19.6,8.4,0.7,1,10,2023-11-23T08:11:16,2023-11-23T17:02:16,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-24,11.6,5.1,9.4,11.6,1.8,8.2,5,74.6,0.339,100,12.5,rain,0,0,51,22.8,330,1019.9,85.1,22,10.4,0.8,1,10,2023-11-24T08:12:43,2023-11-24T17:01:24,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-25,7.8,3.4,5.1,5.2,0.3,2.3,0.5,72.8,0,0,0,,0,0,37.9,17.2,316.4,1020.5,28.9,23.3,15.3,1.3,1,10,2023-11-25T08:14:09,2023-11-25T17:00:34,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-26,6.7,1.1,3.8,4.3,-0.4,2.1,0.5,79.3,0.021,100,8.33,rain,0,0,29,13.1,234.1,1019.4,77.1,20.4,20,1.7,1,10,2023-11-26T08:15:34,2023-11-26T16:59:47,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-27,9.1,4,6.3,6.8,0.9,3.4,4.7,89.8,5.277,100,50,rain,0,0,51.9,21.5,234.9,1004,98,15.6,7.3,0.5,0,10,2023-11-27T08:16:58,2023-11-27T16:59:03,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-28,7.2,3.4,5.7,5.2,1.6,3.2,2.5,80.3,0.391,100,16.67,rain,0,0,48.7,20.6,334.4,1007.3,75.4,21.5,16.8,1.3,1,10,2023-11-28T08:18:20,2023-11-28T16:58:21,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-29,8.8,2.5,5.2,6.9,-0.3,3.7,2.8,85,0,0,0,,0,0,27.5,13.1,208.7,1006.5,84.1,17.2,16,1.3,1,10,2023-11-29T08:19:41,2023-11-29T16:57:43,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-11-30,7.1,2.6,4.5,5.9,0.5,2.6,1.7,82.3,0.014,100,4.17,rain,0,0,30,14.1,84.2,1000.1,89,17.3,9.9,0.8,1,10,2023-11-30T08:21:01,2023-11-30T16:57:07,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-12-01,4.8,0.7,2.9,2.3,-3.6,-0.5,0.1,82.1,0,0,0,rain,0,0,36.9,18.2,34.6,1004.6,99,9.3,7.4,0.7,1,10,2023-12-01T08:22:20,2023-12-01T16:56:33,0.63,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-12-02,3.4,-1.5,0.6,1.4,-5.9,-2.6,-4.2,70.9,0,0,0,,0,0,35.1,18,349.7,1015.8,51.5,13.5,12.8,1.1,1,10,2023-12-02T08:23:36,2023-12-02T16:56:03,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-12-03,3.5,-2,0.8,-0.1,-5.9,-3.1,-3.5,73.1,0,0,0,,0,0,51,21.4,180,1019.3,84,15.5,16.9,1.4,1,10,2023-12-03T08:24:51,2023-12-03T16:55:36,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-12-04,9.5,2.7,6,7,-1.3,2.9,3.2,83.1,9.843,100,45.83,rain,0.3,0,51,21.3,183.4,1002.2,99.3,17.2,5.8,0.5,0,10,2023-12-04T08:26:05,2023-12-04T16:55:11,0.73,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-12-05,8.4,6.5,7.4,6,2.6,4.6,5.2,86.1,5.578,100,33.33,rain,0,0,58.6,24.5,266.5,1006.7,97.3,20.6,12.4,1,1,10,2023-12-05T08:27:16,2023-12-05T16:54:50,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-12-06,8.3,3.6,5.9,8.3,1.2,4.4,3.7,86,0.023,100,8.33,rain,0,0,25.4,13.2,292.6,1018,76.1,16,8.3,0.7,0,10,2023-12-06T08:28:26,2023-12-06T16:54:31,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-12-07,5.7,3,4.4,2.9,-0.1,1.4,2.7,88.8,6.886,100,16.67,rain,0,0,38.7,19.6,154.3,1014.1,98.5,13.8,6.1,0.5,0,10,2023-12-07T08:29:33,2023-12-07T16:54:15,0.82,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-12-08,11,5.7,8.2,11,3,7,7.1,92.6,2.234,100,12.5,rain,0,0,27.8,12.8,230.6,1010.2,85.5,12.5,9.8,0.8,1,10,2023-12-08T08:30:39,2023-12-08T16:54:03,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-12-09,12.9,6.1,9.4,12.9,3.6,7.9,7.7,89.9,16.002,100,50,rain,0,0,62.4,28.1,227.5,1006.2,90.2,11.1,6.3,0.6,0,10,2023-12-09T08:31:43,2023-12-09T16:53:53,0.89,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-12-10,12.4,8.7,10.3,12.4,6.4,9.3,8.1,86.4,1.94,100,25,rain,0,0,59.5,25.6,225.6,1011.1,90.7,17,10.4,0.8,1,10,2023-12-10T08:32:44,2023-12-10T16:53:47,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
